Eye,Face,Lips,Nails,Tongue,Vitamin Deficiency,Recommendation
Bulging Eyes,Hyperpigmentation or Dark Patches,,terry's nail,White Tongue,"Vitamin D Deficiency, Vitamin B7 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,,white spot,,"Vitamin A Deficiency, Vitamin B9 Deficiency, Vitamin A Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,,white spot,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,,white spot,Not Visible / Normal,"Vitamin A Deficiency, Vitamin E Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,,white spot,Swollen Red,"Vitamin K Deficiency, Vitamin B1 Deficiency, Vitamin B6 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,,white spot,White Tongue,"Vitamin B2 Deficiency, Vitamin B1 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,,,"Vitamin B2 Deficiency, Vitamin B6 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,,Magenta Coloured Tongue,Vitamin B6 Deficiency,"Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,,Not Visible / Normal,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,,Swollen Red,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,,White Tongue,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,,"Vitamin B6 Deficiency, Vitamin B5 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,Magenta Coloured Tongue,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,Swollen Red,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,beau's line,White Tongue,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,,"Vitamin A Deficiency, Vitamin B12 Deficiency, Vitamin B7 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,Magenta Coloured Tongue,"Vitamin B6 Deficiency, Vitamin B1 Deficiency, Vitamin B5 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,Swollen Red,Vitamin B1 Deficiency,"Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,black line,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,,"Vitamin B12 Deficiency, Vitamin B5 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,Magenta Coloured Tongue,Vitamin B3 Deficiency,"Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,Swollen Red,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,clubbing,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,,"Vitamin A Deficiency, Vitamin B3 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,Magenta Coloured Tongue,"Vitamin C Deficiency, Vitamin E Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,Not Visible / Normal,Vitamin B7 Deficiency,
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,Swollen Red,"Vitamin B5 Deficiency, Vitamin B1 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,muehrck-e's lines,White Tongue,"Vitamin D Deficiency, Vitamin E Deficiency, Vitamin B9 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,,"Vitamin B5 Deficiency, Vitamin B9 Deficiency, Vitamin K Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,Not Visible / Normal,"Vitamin B9 Deficiency, Vitamin B6 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,Swollen Red,"Vitamin B1 Deficiency, Vitamin E Deficiency, Vitamin B12 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,onycholysis,White Tongue,"Vitamin B7 Deficiency, Vitamin A Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,,"Vitamin A Deficiency, Vitamin C Deficiency, Vitamin B5 Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,Magenta Coloured Tongue,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,Not Visible / Normal,"Vitamin B2 Deficiency, Vitamin B1 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,terry's nail,White Tongue,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,,"Vitamin B7 Deficiency, Vitamin B1 Deficiency, Vitamin B7 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,Magenta Coloured Tongue,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,Not Visible / Normal,"Vitamin B5 Deficiency, Vitamin B12 Deficiency, Vitamin B7 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Angular cheilitis,white spot,White Tongue,"Vitamin B6 Deficiency, Vitamin B12 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,,,"Vitamin C Deficiency, Vitamin B5 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,,Magenta Coloured Tongue,"Vitamin B1 Deficiency, Vitamin E Deficiency, Vitamin A Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,,Not Visible / Normal,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,,Swollen Red,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,,White Tongue,"Vitamin B1 Deficiency, Vitamin B2 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,beau's line,,Vitamin A Deficiency,"Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,beau's line,Magenta Coloured Tongue,Vitamin E Deficiency,"Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,beau's line,Not Visible / Normal,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,beau's line,Swollen Red,"Vitamin B2 Deficiency, Vitamin B5 Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,beau's line,White Tongue,"Vitamin B6 Deficiency, Vitamin B3 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,black line,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,black line,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,black line,Not Visible / Normal,"Vitamin B5 Deficiency, Vitamin B6 Deficiency, Vitamin B12 Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,black line,Swollen Red,"Vitamin C Deficiency, Vitamin D Deficiency, Vitamin B12 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,black line,White Tongue,"Vitamin B2 Deficiency, Vitamin B1 Deficiency, Vitamin A Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,clubbing,,"Vitamin D Deficiency, Vitamin B6 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,clubbing,Magenta Coloured Tongue,"Vitamin K Deficiency, Vitamin B7 Deficiency, Vitamin A Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,clubbing,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,clubbing,Swollen Red,"Vitamin E Deficiency, Vitamin B3 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,clubbing,White Tongue,"Vitamin K Deficiency, Vitamin B7 Deficiency, Vitamin B1 Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,,"Vitamin B7 Deficiency, Vitamin C Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,Magenta Coloured Tongue,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,Not Visible / Normal,"Vitamin C Deficiency, Vitamin B9 Deficiency, Vitamin B5 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,Swollen Red,"Vitamin B6 Deficiency, Vitamin B5 Deficiency, Vitamin B5 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,muehrck-e's lines,White Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,onycholysis,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,onycholysis,Magenta Coloured Tongue,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,onycholysis,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,onycholysis,Swollen Red,Vitamin K Deficiency,"Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,onycholysis,White Tongue,"Vitamin B2 Deficiency, Vitamin K Deficiency, Vitamin E Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Eat nuts, seeds, and spinach to enhance Vitamin E levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,terry's nail,,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,terry's nail,Magenta Coloured Tongue,"Vitamin C Deficiency, Vitamin B12 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,terry's nail,Not Visible / Normal,Vitamin B7 Deficiency,"Consume eggs, nuts, seeds, and sweet potatoes to improve Vitamin B7 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,terry's nail,Swollen Red,"Vitamin B1 Deficiency, Vitamin C Deficiency, Vitamin B2 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,terry's nail,White Tongue,"Vitamin B6 Deficiency, Vitamin B7 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,white spot,,"Vitamin B6 Deficiency, Vitamin B9 Deficiency, Vitamin A Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,white spot,Magenta Coloured Tongue,"Vitamin A Deficiency, Vitamin C Deficiency, Vitamin K Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,white spot,Not Visible / Normal,"Vitamin B9 Deficiency, Vitamin D Deficiency, Vitamin B7 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,white spot,Swollen Red,"Vitamin B2 Deficiency, Vitamin B2 Deficiency, Vitamin D Deficiency","Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Cracked,white spot,White Tongue,"Vitamin B7 Deficiency, Vitamin B12 Deficiency, Vitamin B6 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,,,Vitamin B12 Deficiency,"Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,,Magenta Coloured Tongue,"Vitamin B5 Deficiency, Vitamin B9 Deficiency, Vitamin A Deficiency","Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,,Not Visible / Normal,"Vitamin B7 Deficiency, Vitamin B1 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,,Swollen Red,"Vitamin B9 Deficiency, Vitamin B7 Deficiency","Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,,White Tongue,"Vitamin C Deficiency, Vitamin B9 Deficiency","Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,beau's line,,"Vitamin E Deficiency, Vitamin B6 Deficiency, Vitamin B12 Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,beau's line,Magenta Coloured Tongue,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,beau's line,Not Visible / Normal,"Vitamin B6 Deficiency, Vitamin B2 Deficiency, Vitamin B2 Deficiency","Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,beau's line,Swollen Red,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,beau's line,White Tongue,"Vitamin K Deficiency, Vitamin B7 Deficiency, Vitamin D Deficiency","Consume leafy greens, broccoli, and fermented foods to improve Vitamin K levels. Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,black line,,Vitamin B5 Deficiency,"Include avocados, eggs, and whole grains in your diet to improve Vitamin B5 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,black line,Magenta Coloured Tongue,Vitamin B9 Deficiency,"Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,black line,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,black line,Swollen Red,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,black line,White Tongue,"Vitamin A Deficiency, Vitamin B3 Deficiency, Vitamin A Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Eat poultry, fish, peanuts, and mushrooms to enhance Vitamin B3 levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,clubbing,,"Vitamin D Deficiency, Vitamin B7 Deficiency, Vitamin B9 Deficiency","Get sunlight exposure and consume fatty fish, eggs, and fortified dairy to boost Vitamin D levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,clubbing,Magenta Coloured Tongue,"Vitamin B1 Deficiency, Vitamin B9 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Eat leafy greens, legumes, and citrus fruits to improve Vitamin B9 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,clubbing,Not Visible / Normal,"Vitamin B1 Deficiency, Vitamin B6 Deficiency","Eat whole grains, pork, and legumes to enhance Vitamin B1 levels. Consume bananas, potatoes, and fortified cereals to enhance Vitamin B6 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,clubbing,Swollen Red,"Vitamin B12 Deficiency, Vitamin B2 Deficiency","Include fish, meat, dairy, and eggs in your diet to boost Vitamin B12 levels. Consume dairy products, eggs, and green vegetables to improve Vitamin B2 levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,clubbing,White Tongue,"Vitamin E Deficiency, Vitamin C Deficiency","Eat nuts, seeds, and spinach to enhance Vitamin E levels. Eat citrus fruits, bell peppers, and strawberries to improve Vitamin C levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,muehrck-e's lines,,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,muehrck-e's lines,Magenta Coloured Tongue,"Vitamin A Deficiency, Vitamin A Deficiency","Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels. Consume carrots, sweet potatoes, and leafy greens to improve Vitamin A levels."
Bulging Eyes,Hyperpigmentation or Dark Patches,Normal,muehrck-e's lines,Not Visible / Normal,No major Deficiencies found.,"Maintain a balanced diet with a variety of fruits, vegetables, whole grains, and proteins to ensure overall health."
